created,text,retwc,hashtag,followers,friends
2021-10-10 23:49:54,b'@jsolomonReports #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov @NIH\xe2\x80\xa6 https://t.co/Uipnd9VIWK',0,LawsOfWar,85,538
2021-10-10 23:49:52,"b'@CNBC @pfizer And the nurse in Tennessee who had the jab on live tv who ""passed-out"" how\'s she doing?'",0,None,469,835
2021-10-10 23:49:52,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,36,150
2021-10-10 23:49:49,"b'RT @RWMaloneMD: This is from May, is a bit dated, but should be kept in mind.\n\nhttps://t.co/axfHsFkEMw'",1467,None,69,213
2021-10-10 23:49:48,b'RT @PROTEST__NEWS: California USA Flag of United States - Protests at the CNN Building \n\n No Vaccine Mandates - We Will Not Comply\n#CNN #No\xe2\x80\xa6',62,CNN,1516,2206
2021-10-10 23:49:43,"b'RT @EggerDC: The ""enriching the pockets of Big Pharma"" argument here is particularly bizarre. For a dose of vaccine, the government pays Pf\xe2\x80\xa6'",161,None,4591,5052
2021-10-10 23:49:41,b'@ColumbiaBugle #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov @NIH\xe2\x80\xa6 https://t.co/erKgm2damv',0,LawsOfWar,85,538
2021-10-10 23:49:39,b'RT @SecCardona: The booster shot provides stronger protection for those who received the Pfizer vaccine. Educators - you are eligible to ge\xe2\x80\xa6',30,None,1677,1195
2021-10-10 23:49:37,"b'RT @ggreenwald: Pfizer to vaccinate entire city in Brazil as part of study.\n\n""Pfizer announced that it would fully vaccinate everyone in th\xe2\x80\xa6'",1172,None,9941,4370
2021-10-10 23:49:36,"b'RT @JackPosobiec: PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director of Worldwide R\xe2\x80\xa6'",11727,None,100,1308
2021-10-10 23:49:32,b'RT @PROTEST__NEWS: California USA Flag of United States - Protests at the CNN Building \n\n No Vaccine Mandates - We Will Not Comply\n#CNN #No\xe2\x80\xa6',62,CNN,4075,4429
2021-10-10 23:49:32,b'RT @nytimes: Pfizer will fully vaccinate everyone in a Brazilian city over the age of 12 to study the safety and efficacy of their vaccine.\xe2\x80\xa6',865,None,87,189
2021-10-10 23:49:31,"b'RT @EggerDC: The ""enriching the pockets of Big Pharma"" argument here is particularly bizarre. For a dose of vaccine, the government pays Pf\xe2\x80\xa6'",161,None,867,1506
2021-10-10 23:49:24,"b'RT @RWMaloneMD: This is from May, is a bit dated, but should be kept in mind.\n\nhttps://t.co/axfHsFkEMw'",1467,None,130,2101
2021-10-10 23:49:24,"b'RT @EggerDC: The ""enriching the pockets of Big Pharma"" argument here is particularly bizarre. For a dose of vaccine, the government pays Pf\xe2\x80\xa6'",161,None,321,335
2021-10-10 23:49:24,"b'RT @TileTony: @FPWellman @HockeyFanGirl12 @AllenWest Price of a Pfizer vaccine dose, $19.50.\n\nPrice of monoclonal antibody infusion, $1,250\xe2\x80\xa6'",149,None,2074,506
2021-10-10 23:49:23,"b'Thank you Queensland for another successful Super Pfizer Weekend \xf0\x9f\x92\xaa \n\nQueensland Health administered 47,221 vaccines\xe2\x80\xa6 https://t.co/UTFVLqTPw9'",2,None,192701,1255
2021-10-10 23:49:22,b'@LexiSex78402949 @Fireman_Ram @KeithOlbermann @pfizer Read the Thread and stfu',0,None,59,328
2021-10-10 23:49:21,"b""Don't trust the Pfizer shot either. Corporste Pfizer has zero credibility, zero integrity. https://t.co/a0NKxNQJDm""",0,None,175,468
2021-10-10 23:49:21,"b""RT @DrGloryE: BREAKING: @Pfizer Scientists: \xe2\x80\x98Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination\xe2\x80\x99\n\n'We\xe2\x80\x99re Like Bred A\xe2\x80\xa6""",1100,None,59,332
2021-10-10 23:49:21,"b'So provisional approval = restricted basis, limited No. of patients, suited to medicines still undergoing clinical\xe2\x80\xa6 https://t.co/VC6MmUiiuC'",0,None,1393,4994
2021-10-09 17:21:04,"b'RT @AryJaey: Pfizer admitted to using aborted fetal tissue in developing its vaccines.\n\nVanessa Gelman, Pfizer\xe2\x80\x99s senior director of worldwi\xe2\x80\xa6'",35,None,5409,94
2021-10-09 17:21:02,"b""@TheSciBabe I had not heard about Moderna. AFAIK, it's only Pfizer approved. I'm in the window for Moderna but have\xe2\x80\xa6 https://t.co/Rt22h72B2C""",0,None,334,355
2021-10-09 17:20:58,"b'RT @supriyadwivedi: This is a false talking point, and I don\xe2\x80\x99t know why we have let it persist. NACI\xe2\x80\x99s decision was indeed based on lots of\xe2\x80\xa6'",44,None,2276,2198
2021-10-09 17:20:55,b'RT @JackPosobiec: Lol at @Pfizer deploying Creepy Frank Luntz at me after blocking me yesterday \n\nWe already have the receipts on opioid de\xe2\x80\xa6',1204,None,19,172
2021-10-09 17:20:53,b'RT @JeanmarcBenoit: VAERS. 16 female. Death from pulmonary embolism 11 days post Pfizer. On oral contraceptives. https://t.co/V6fOaPsE0T',148,None,24,94
2021-10-09 17:20:53,b'RT @endasher: @kindatouma @KyrieIrving It\xe2\x80\x99s not a conspiracy theory to question motives of Big Pharma. But guess who now benefits most from\xe2\x80\xa6',1,None,187,1048
2021-10-09 17:20:52,b'RT @DawsonMdhoust: #CovidVaxExposed PART 5 Update: Pfizer Chief Scientific Officer \xe2\x80\x9cRuns Away\xe2\x80\x9d from Veritas Journalist When Asked Questions\xe2\x80\xa6',31,CovidVaxExposed,171,279
2021-10-09 17:20:52,"b""RT @Kukicat7: Former Bachelor star Monique Morley is hospitalised with extremely rare heart complication 'as a side effect of her first Pfi\xe2\x80\xa6""",626,None,7165,6527
2021-10-09 17:20:52,"b'@graham_in_mexic @Sunshin00252093 @JemmaMichelle13 @LettleyPelly @SkyNews AstraZeneca, banned in the rich countries\xe2\x80\xa6 https://t.co/8KN6VIRZnw'",0,None,42,315
2021-10-09 17:20:49,"b'RT @joeygilbertinc: What do Pfizer, Moderna, and J&amp;J have in common?\n\nVaccine mandates have made them rich.\n\nJust follow the money!'",417,None,1,89
2021-10-09 17:20:45,b'@TurkishTickIer @JackPosobiec @pfizer Glad you recognize you don\xe2\x80\x99t have much going for you.',0,None,114,66
2021-10-09 17:20:44,b'@FoxNews Translation: FDA reaches conclusion to keep Americans safe after further investigation. Use the other vacc\xe2\x80\xa6 https://t.co/EfwSxiNpk2',0,None,214,1117
2021-10-09 17:20:44,b'Pfizer COVID Vaccine Antibodies May Disappear in 7 Months: Study https://t.co/rUj7vlXlaI via @medscape (If there is\xe2\x80\xa6 https://t.co/iEXKSlFbvw',0,None,12134,6268
2021-10-09 17:20:42,b'@SublimeU4ea @sunandysunandy1 @LBC Those jabbed destroyed their innate and adaptive immune systems\nhttps://t.co/TR1yZZluBX',0,None,323,1602
2021-10-09 17:20:42,b'RT @JackPosobiec: Lol at @Pfizer deploying Creepy Frank Luntz at me after blocking me yesterday \n\nWe already have the receipts on opioid de\xe2\x80\xa6',1204,None,1622,2717
2021-10-09 17:20:40,"b'RT @JerryLeeBowyer: Can someone please help me to understand what precisely is new in the Project Veritas whistle blower videos, trending u\xe2\x80\xa6'",1,None,7825,2870
2021-10-09 17:20:40,"b'im getting my second dose Pfizer tomorrow, really looking forward to free 5G and my complimentary femboy bf https://t.co/afO7lp0wNm'",37,None,69771,661
2021-10-09 17:20:40,"b""@AHS_media That's probably because you're not getting paid to use it, until Pfizer gets its claws on the drug, crea\xe2\x80\xa6 https://t.co/OqWmDhJNmy""",2,None,433,1527
2021-10-09 17:20:39,b'@kindatouma @KyrieIrving It\xe2\x80\x99s not a conspiracy theory to question motives of Big Pharma. But guess who now benefits\xe2\x80\xa6 https://t.co/qwf4vBQSbh',1,None,187,1048
2021-10-09 17:20:39,b'RT @RavenZech2: NSW has achieved its vax stats because we got the bigger share of Pfizer from the extras plus we were given doses from othe\xe2\x80\xa6',140,None,2157,3449
2021-10-09 17:20:38,b'RT @JackPosobiec: Lol at @Pfizer deploying Creepy Frank Luntz at me after blocking me yesterday \n\nWe already have the receipts on opioid de\xe2\x80\xa6',1204,None,176,587
2021-10-09 17:20:36,b'@jasonwoody @CBCToronto You know the same Moderna that is interchangeable with pfizer? The one that got sold by Can\xe2\x80\xa6 https://t.co/fYs8x5Qv5W',0,None,273,356
2021-10-09 17:20:35,b'RT @NRPublicHealth: \xf0\x9d\x90\x87\xf0\x9d\x90\x9a\xf0\x9d\x90\xa9\xf0\x9d\x90\xa9\xf0\x9d\x90\x9e\xf0\x9d\x90\xa7\xf0\x9d\x90\xa2\xf0\x9d\x90\xa7\xf0\x9d\x90\xa0 \xf0\x9d\x90\x8d\xf0\x9d\x90\xa8\xf0\x9d\x90\xb0 | Get #Vaxxed in @St_Catharines! \n\n\xf0\x9f\x9a\xb6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fWalk-ins only\n\xe2\x8f\xb2\xef\xb8\x8f10 a.m. - 6 p.m.\n\xe2\x9c\x85Anyone born in 2009 or earlier\n\xf0\x9f\x92\x89\xe2\x80\xa6',11,Vaxxed,21205,566
2021-10-09 17:20:30,"b'RT @janaan99: @JackPosobiec @pfizer Pfizer demanded secret upfront payment for its vaccine, FOI documents reveal \n\nPfizer wanted Taxpayers\xe2\x80\xa6'",65,None,108,424
2021-10-09 17:20:29,b'RT @JackPosobiec: Lol at @Pfizer deploying Creepy Frank Luntz at me after blocking me yesterday \n\nWe already have the receipts on opioid de\xe2\x80\xa6',1204,None,919,1090
2021-10-09 17:20:28,b'#CovidVaxExposed PART 5 Update: Pfizer Chief Scientific Officer \xe2\x80\x9cRuns Away\xe2\x80\x9d from Veritas Journalist When Asked Ques\xe2\x80\xa6 https://t.co/BJhFdYKtu2',31,CovidVaxExposed,2163,5000
2021-10-09 17:20:27,b'RT @JackPosobiec: Lol at @Pfizer deploying Creepy Frank Luntz at me after blocking me yesterday \n\nWe already have the receipts on opioid de\xe2\x80\xa6',1204,None,34,244
2021-10-09 17:20:26,b'RT @JackPosobiec: Lol at @Pfizer deploying Creepy Frank Luntz at me after blocking me yesterday \n\nWe already have the receipts on opioid de\xe2\x80\xa6',1204,None,446,752
2021-10-09 17:20:25,"b""@FreedomIsrael_ Pfizer's chairman of the board now: https://t.co/JPnYd0NUdW""",2,None,57,128
2021-10-09 17:20:23,b'RT @JackPosobiec: Lol at @Pfizer deploying Creepy Frank Luntz at me after blocking me yesterday \n\nWe already have the receipts on opioid de\xe2\x80\xa6',1204,None,55,246
2021-10-09 17:20:22,"b""RT @NuthanMan: This dog was coerced by her employer to receive the Pfizer on Saturday. This was her on Sunday.\n\nMoney ain't worth it, peopl\xe2\x80\xa6""",1,None,255,489
2021-10-09 17:20:21,"b'RT @RobertKennedyJr: A study from Israel covering 4,800 healthcare workers showed antibody levels waned rapidly after 2 doses of Pfizer\xe2\x80\x99s C\xe2\x80\xa6'",1856,None,4035,233
2021-10-09 17:20:20,b'@robfortino @JackPosobiec @pfizer Must have missed that. What happened?',0,None,80,513
2021-10-09 17:20:20,b'@SabiVM Can I see what this is and how this works???? Pfizer\xe2\x80\x99s vial stopper is basically made out of paper mache an\xe2\x80\xa6 https://t.co/GEex9AUUbr',0,None,319,948
2021-10-09 17:20:18,b'@LukkieCharm @Goofymansmoo @ADevotedYogi @TakeThatChem @JRHorsting @eric_heffernan @dukeye @eschbachfamily\xe2\x80\xa6 https://t.co/tnqDUOX8ZI',0,None,412,2426
2021-10-09 17:20:18,"b'RT @lisajblee: @sarah160409 @PeterSweden7 The main difference is the dosage - 100mg in Moderna vs 30mg in Pfizer. But yes, you\xe2\x80\x99re absolutel\xe2\x80\xa6'",1,None,4314,4888
2021-10-09 17:20:17,b'RT @LettingFocus: Pfizer admits to using aborted fetal tissue in developing its vaccines. So can Christians sign up for a jab exemption now\xe2\x80\xa6',31,None,2991,1052
