created,text,retwc,hashtag,followers,friends
2021-10-09 03:54:49,"b""RT @towofu: imagine being anti-vaxx and anti-mask,,,, in this day and age? couldn't be me""",1,None,2402,296
2021-10-09 03:54:43,b'@R_H_Ebright @Byron_Wan @BillyBostickson @gdemaneuf @CharlesRixey @franciscodeasis @GMWatch @MonaRahalkar\xe2\x80\xa6 https://t.co/Psmn7W2BTY',0,None,14,43
2021-10-09 03:54:35,"b""Instead of only vaxx mandates why don't u make alternatives like mandatory masks, no mask off. Why is mRNA only opt\xe2\x80\xa6 https://t.co/KDQJTbfLJT""",0,None,13,67
2021-10-09 03:54:30,b'@daschristabelle im coming 2u bb i got my vaxx papers this week',0,None,12495,2310
2021-10-09 03:54:19,b'RT @Kafostc: Jaw dropping \xf0\x9f\x98\xaehttps://t.co/b1yjhU6axF',1,None,1688,6
2021-10-09 03:54:16,"b'RT @FilmThePoliceLA: Hollywood Blvd, Saturday, 11:22 AM:\n\nANTI-VAXX PROTESTER: Do you see all of these homeless people around. Are they dea\xe2\x80\xa6'",50817,None,167,323
2021-10-09 03:54:15,"b'RT @FilmThePoliceLA: Hollywood Blvd, Saturday, 11:22 AM:\n\nANTI-VAXX PROTESTER: Do you see all of these homeless people around. Are they dea\xe2\x80\xa6'",50817,None,26,61
2021-10-09 03:54:09,"b""RT @SizweLo: Here's a simple explanation why many seem to mindlessly go along with the restrictions, the vaxx and the passport: The Asch Ex\xe2\x80\xa6""",420,None,5,79
2021-10-09 03:53:57,b'RT @SuziSaul: Nurses draw blood. Maybe this is why so many would rather be fired than take this vaxx.',15,None,1149,432
2021-10-09 03:53:38,b'@americafirstmg #LawsOfWar\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 COVID-19 VAXX: A BIOWEAPON = GENOCIDE\n@Surgeon_General @WhiteHouse @CDCgov @NIH\xe2\x80\xa6 https://t.co/eQHQnKQFLJ',0,LawsOfWar,84,526
2021-10-09 03:53:26,b'@MsJGr2 @ctvottawa If it\xe2\x80\x99s safe why do we need a vaxx passport to go to the gym or cafe?',0,None,15,81
2021-10-09 03:53:26,"b'RT @WesElyMD: \xf0\x9f\x91\x87Since COVID is likely to become endemic unless we all get vaxxed, the fact that it\xe2\x80\x99s airborne means any time you\xe2\x80\x99re in a tig\xe2\x80\xa6'",179,None,34,202
2021-10-09 03:53:25,b'RT @Oren_Jacobson: It\xe2\x80\x99s actually pretty simple. When the virus is under control the economy will take off like a rocket ship.\n\nMask up + va\xe2\x80\xa6',730,None,3438,5001
2021-10-09 03:53:23,b'RT @Oren_Jacobson: It\xe2\x80\x99s actually pretty simple. When the virus is under control the economy will take off like a rocket ship.\n\nMask up + va\xe2\x80\xa6',730,None,13997,12198
2021-10-09 03:53:18,b'@ncostanzo24 Greatest game ever to be at',0,None,399,1866
2021-10-09 03:52:41,b'RT @Oren_Jacobson: It\xe2\x80\x99s actually pretty simple. When the virus is under control the economy will take off like a rocket ship.\n\nMask up + va\xe2\x80\xa6',730,None,1216,3724
2021-10-09 03:52:39,"b'RT @aginnt: Almost daily in New York City, there is a protest against the firing of public sector workers based on their vaxx status.\n\nUS m\xe2\x80\xa6'",4043,None,3,227
2021-10-09 03:52:29,"b'RT @WesElyMD: \xf0\x9f\x91\x87Since COVID is likely to become endemic unless we all get vaxxed, the fact that it\xe2\x80\x99s airborne means any time you\xe2\x80\x99re in a tig\xe2\x80\xa6'",179,None,10974,3083
